             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             52468    normal run_fvco  mueller PD       0:00     32 (QOSMaxWallDurationPerJobLimit)
             55491    normal run_fvco  mueller PD       0:00     32 (QOSMaxWallDurationPerJobLimit)
             50826 multinode screen_c evenseth PD       0:00      3 (QOSMaxWallDurationPerJobLimit)
             50829 multinode screen_c evenseth PD       0:00      3 (QOSMaxWallDurationPerJobLimit)
             50830 multinode screen_c evenseth PD       0:00      3 (QOSMaxWallDurationPerJobLimit)
             50832 multinode screen_c evenseth PD       0:00      3 (QOSMaxWallDurationPerJobLimit)
             50833 multinode screen_c evenseth PD       0:00      3 (QOSMaxWallDurationPerJobLimit)
             63161    normal SlurmWha  mifajej PD       0:00     16 (Resources)
             57421 singlenod Tinker-s    stajv PD       0:00      1 (QOSMaxWallDurationPerJobLimit)
             62784 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62782 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62783 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62785 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62786 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62787 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62788 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62789 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62790 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62791 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62792 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62793 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62794 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62795 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62796 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62797 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62798 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62799 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62800 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62801 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62802 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62803 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62804 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62805 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62806 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62807 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62808 multinode  mini.sh    thinf PD       0:00      3 (Resources)
             62809 multinode  mini.sh    thinf PD       0:00      3 (Resources)
